date, pm25, pm10, o3, no2, so2, co
2023/1/29, 68, 43, 41, 8, 3, 3
2023/1/30, 73, 50, 45, 11, 3, 4
2023/1/31, 88, 52, 48, 16, 3, 4
2023/2/1, 90, 42, 49, 14, 2, 3
2023/2/2, 76, 63, 49, 13, 2, 4
2023/2/3, 100, 51, 38, 9, 2, 2
2023/2/4, 75, 47, 38, 9, 1, 2
2023/2/5, 78, 44, 36, 7, 1, 3
2023/2/6, 92, 29, 25, 10, 1, 3
2023/2/7, 72, 49, 30, 14, 1, 4
2023/2/8, 109, 55, 33, 10, 1, 3
2023/2/9, 112, 46, 32, 11, , 3
2023/2/10, 100, 55, 44, 17, 3, 5
2023/2/11, 116, 52, 42, 12, 1, 4
2023/2/12, 104, 53, 47, 12, 1, 4
2023/2/13, 117, 31, 32, 8, , 2
2023/2/14, 59, 39, 23, 11, 1, 3
2023/2/15, 58, 42, 31, 9, 1, 2
2023/2/16, 57, 40, 42, 10, 2, 2
2023/2/17, 56, 53, 45, 10, 2, 2
2023/2/18, 80, 58, 41, 12, 2, 3
2023/2/19, 126, 57, 46, 11, 1, 4
2023/2/20, 121, 64, 47, 9, 1, 4
2023/2/21, 98, 43, 33, 9, 2, 2
2023/2/22, 51, 35, 37, 8, 1, 1
2023/2/23, 53, 45, 36, 9, 1, 2
2023/2/24, 80, 41, 30, 9, 1, 2
2023/2/25, 68, 42, 45, 7, 1, 3
2023/2/26, 66, 36, 39, 5, 1, 2
2023/2/27, 54, 38, 44, 7, 1, 2
2023/2/28, 59, 53, 45, 7, 2, 2
2023/3/1, 90, 52, 44, 7, 1, 2
2023/3/2, 105, 67, 57, 11, 1, 3
2023/3/3, 95, 49, 54, 12, 1, 2
2023/3/4, 73, 52, 55, 11, 2, 3
2023/3/5, 80, 52, 57, 10, 2, 3
2023/3/6, 88, 48, 51, 12, 2, 3
2023/3/7, 76, 43, 48, 9, 1, 2
2023/3/8, 69, 45, 68, 11, 1, 3
2023/3/9, 78, 52, 76, 12, 3, 3
2023/3/10, 88, 54, 84, 13, 3, 3
2023/3/11, 97, 40, 53, 9, 1, 2
2023/3/12, 74, 42, 57, 8, 2, 2
2023/3/13, 70, 49, 38, 8, 1, 2
2023/3/14, 59, 43, 55, 9, 2, 2
2023/3/15, 63, 49, 60, 11, 2, 3
2023/3/16, 78, 55, 55, 10, 2, 3
2023/3/17, 97, 53, 46, 10, 1, 2
2023/3/18, 88, 50, 46, 11, 2, 3
2023/3/19, 78, 35, 45, 7, 2, 3
2023/3/20, 63, 45, 44, 9, 1, 2
2023/3/21, 70, 39, 34, 8, 1, 2
2023/3/22, 66, 29, 25, 6, 1, 2
2023/3/23, 49, 22, 26, 5, , 1
2023/3/24, 48, 39, 39, 7, 1, 2
2023/3/25, 79, 47, 48, 6, 1, 2
2023/3/26, 71, 21, 22, 10, 1, 3
2023/3/27, 53, 40, 37, 9, 1, 3
2023/3/28, 71, 31, 45, 8, 1, 2
2023/3/29, 64, 34, 33, 11, 1, 3
2023/3/30, 71, 31, 45, 7, 1, 2
2023/3/31, 63, 41, 24, 11, 2, 4
2023/4/1, 80, 39, 27, 14, 2, 5
2022/10/2, 64, 38, 53, 7, 1, 2
2022/10/3, 80, 41, 50, 7, 2, 2
2022/10/4, 76, 31, 41, 5, , 1
2022/10/5, 60, 40, 55, 6, 1, 2
2022/10/6, 68, 42, 64, 5, 1, 2
2022/10/7, 73, 41, 58, 7, 1, 2
2022/10/8, 61, 29, 50, 8, 1, 2
2022/10/9, 46, 32, 48, 8, 3, 2
2022/10/10, 54, 35, 47, 6, , 2
2022/10/11, 41, 37, 38, 10, 2, 2
2022/10/12, 47, 34, 52, 8, 1, 1
2022/10/13, 38, 36, 54, 11, 2, 2
2022/10/14, 47, 37, 51, 9, 1, 2
2022/10/15, 57, 19, 41, 8, 1, 2
2022/10/16, 36, 14, 15, 8, , 2
2022/10/17, 29, 21, 37, 8, , 2
2022/10/18, 23, 20, 35, 6, , 1
2022/10/19, 21, 30, 49, 7, 1, 1
2022/10/20, 40, 38, 59, 10, 2, 2
2022/10/21, 52, 36, 54, 10, 1, 2
2022/10/22, 50, 43, 42, 11, 1, 3
2022/10/23, 74, 31, 28, 6, , 1
2022/10/24, 48, 36, 40, 7, 1, 1
2022/10/25, 47, 37, 41, 10, 2, 2
2022/10/26, 49, 37, 55, 10, 2, 2
2022/10/27, 51, 39, 57, 7, 2, 2
2022/10/28, 50, 44, 54, 9, 2, 2
2022/10/29, 54, 37, 53, 8, 2, 2
2022/10/30, 54, 34, 45, 6, 1, 2
2022/10/31, 59, 17, 24, 6, 1, 1
2022/11/1, 34, 21, 37, 7, 1, 1
2022/11/2, 24, 28, 43, 9, 1, 2
2022/11/3, 36, 43, 66, 10, 2, 2
2022/11/4, 61, 51, 44, 9, 1, 3
2022/11/5, 82, 27, 31, 7, 2, 2
2022/11/6, 39, 23, 39, 6, 2, 1
2022/11/7, 34, 35, 35, 8, 1, 2
2022/11/8, 49, 43, 38, 9, , 2
2022/11/9, 56, 49, 45, 11, , 3
2022/11/10, 71, 46, 55, 8, , 2
2022/11/11, 70, 52, 49, 8, 1, 2
2022/11/12, 98, 56, 45, 7, 1, 3
2022/11/13, 104, 44, 48, 7, 1, 2
2022/11/14, 81, 52, 51, 10, 1, 3
2022/11/15, 83, 56, 65, 11, 2, 4
2022/11/16, 82, 51, 51, 8, 1, 3
2022/11/17, 78, 43, 44, 7, 1, 2
2022/11/18, 66, 55, 48, 9, 1, 3
2022/11/19, 91, 54, 54, 8, 1, 3
2022/11/20, 89, 46, 47, 7, 2, 3
2022/11/21, 72, 46, 47, 8, 1, 3
2022/11/22, 68, 61, 42, 10, 1, 3
2022/11/23, 96, 48, 30, 12, 1, 4
2022/11/24, 82, 32, 31, 12, 2, 3
2022/11/25, 53, 37, 33, 13, 2, 3
2022/11/26, 63, 28, 34, 7, 2, 2
2022/11/27, 49, 37, 43, 8, 2, 3
2022/11/28, 66, 28, 40, 10, 1, 3
2022/11/29, 43, 36, 42, 8, 1, 2
2022/11/30, 57, 46, 32, 10, , 2
2022/12/1, 47, 25, 32, 8, 1, 1
2022/12/2, 27, 24, 33, 9, 2, 1
2022/12/3, 32, 22, 35, 11, 1, 2
2022/12/4, 38, 29, 22, 9, 1, 3
2022/12/5, 57, 25, 29, 7, 1, 2
2022/12/6, 18, 22, 33, 10, 2, 2
2022/12/7, 28, 33, 38, 13, 3, 2
2022/12/8, 48, 28, 37, 10, 1, 2
2022/12/9, 43, 25, 35, 10, 1, 2
2022/12/10, 34, 26, 39, 12, 2, 2
2022/12/11, 48, 24, 40, 7, 2, 3
2022/12/12, 39, 28, 31, 8, 1, 2
2022/12/13, 39, 27, 35, 10, 2, 2
2022/12/14, 45, 27, 27, 10, 1, 3
2022/12/15, 49, 24, 32, 10, 2, 2
2022/12/16, 37, 24, 28, 11, 2, 2
2022/12/17, 41, 13, 24, 5, 1, 1
2022/12/18, 24, 33, 29, 6, 1, 2
2022/12/19, 55, 34, 32, 14, 3, 2
2022/12/20, 57, 40, 39, 13, 2, 3
2022/12/21, 65, 38, 35, 10, 1, 2
2022/12/22, 61, 38, 40, 10, 2, 2
2022/12/23, 56, 57, 44, 18, 3, 3
2022/12/24, 88, 34, 39, 11, 2, 2
2022/12/25, 57, 40, 45, 14, 3, 3
2022/12/26, 76, 47, 41, 16, 3, 3
2022/12/27, 83, 44, 39, 15, 2, 3
2022/12/28, 71, 42, 40, 16, 4, 3
2022/12/29, 74, 35, 26, 14, 2, 3
2022/12/30, 65, 23, 27, 8, 1, 2
2022/12/31, 38, 26, 36, 7, 1, 2
2023/1/1, 45, 35, 27, 7, 1, 2
2023/1/2, 66, 30, 27, 7, , 2
2022/7/2, 33, 13, 26, 3, 1, 1
2022/7/3, 18, 14, 25, 2, , 1
2022/7/4, 19, 14, 24, 3, , 1
2022/7/5, 17, 13, 18, 3, 1, 1
2022/7/6, 19, 15, 25, 4, , 1
