date, pm25, pm10, o3, no2, so2, co
2022/12/15, 67, 51, 38, 41, 8, 6
2022/12/16, 78, 57, 20, 61, 11, 10
2022/12/17, 92, 82, 13, 65, 10, 12
2022/12/18, 92, 70, 16, 55, 8, 8
2022/12/19, 86, 81, 11, 62, 10, 9
2022/12/20, 100, 73, 21, 65, 9, 10
2022/12/21, 95, 61, 13, 64, 13, 8
2022/12/22, 67, 56, 14, 53, 7, 6
2022/12/23, 70, 40, 19, 39, 5, 6
2022/12/24, 58, 41, 16, 56, 13, 12
2022/12/25, 90, 41, 16, 50, 6, 7
2022/12/26, 106, , 14, 51, 5, 9
2022/12/27, 103, 85, 14, 55, 9, 14
2022/12/28, 153, 95, 12, 61, 5, 17
2022/12/29, 149, 88, 11, 65, 11, 20
2022/12/30, 160, 81, 12, 63, 12, 13
2022/12/31, 122, 81, 12, 48, 5, 12
2023/1/1, 133, 81, 13, 53, 7, 17
2023/1/2, 154, 81, 11, 44, 2, 15
2022/7/2, 85, 66, 1, 7, 20, 13
2022/7/3, 84, 73, 6, 6, 19, 13
2022/7/4, 82, 75, 4, 6, 18, 11
2022/7/5, 98, 62, 4, 7, 22, 10
2022/7/6, 97, 47, 5, 5, 15, 13
2022/7/7, 76, 54, 15, 4, 5, 10
2022/7/8, 84, 56, 16, 3, 14, 14
2022/7/9, 82, 58, 17, 3, 16, 13
2022/7/10, 95, 62, 5, 8, 7, 13
2022/7/11, 88, 37, 4, 6, 7, 13
2022/7/12, 51, 52, 6, 6, 10, 5
2022/7/13, 74, 58, 10, 6, 15, 3
2022/7/14, 99, 57, 5, 6, 15, 5
2022/7/15, 79, 48, 11, 5, 15, 6
2022/7/16, 66, 48, 13, 4, 14, 8
2022/7/17, 56, 61, 11, 4, 13, 8
2022/7/18, 68, 71, 13, 6, 15, 10
2022/7/19, 88, 68, 11, 6, 16, 11
2022/7/20, 102, 66, 12, 5, 15, 10
2022/7/21, 78, 74, 17, 7, 17, 9
2022/7/22, 79, 68, 12, 12, 25, 6
2022/7/23, 81, 70, 17, 7, 29, 3
2022/7/24, 77, 53, 19, 5, 32, 1
2022/7/25, 70, 67, 24, 5, 21, 1
2022/7/26, 83, 70, 24, 4, 19, 2
2022/7/27, 77, 59, 8, 4, 12, 2
2022/7/28, 86, 63, 10, 4, 8, 1
2022/7/29, 95, 58, 16, 4, 5, 
2022/7/30, 68, 60, 15, 3, 4, 
2022/7/31, 68, 62, 15, 4, 4, 
2022/8/1, 61, 65, 34, 5, 6, 17
2022/8/2, 72, 61, 17, 4, 9, 14
2022/8/3, 63, 68, 17, 5, 13, 8
2022/8/4, 77, 65, 25, 5, 27, 7
2022/8/5, 78, 64, 34, 10, 45, 1
2022/8/6, 93, 77, 23, 8, 9, 
2022/8/7, 110, 72, 23, 10, 10, 
2022/8/8, 99, 76, 18, 8, 8, 
2022/8/9, 112, 63, 18, 8, 9, 12
2022/8/10, 109, 48, 11, 7, 12, 9
2022/8/11, 75, 41, 15, 5, 15, 10
2022/8/12, 65, 47, 12, 4, 11, 6
