date, pm25, pm10, o3, no2, so2, co
2023/3/30, 54, 51, 43, 22, , 3
2023/3/31, 50, 53, 49, 22, , 4
2023/4/1, 48, 46, 51, 17, , 3
2022/10/2, 68, 37, 53, 14, 1, 7
2022/10/3, 57, 40, 11, 18, 1, 8
2022/10/4, 64, 41, 24, 17, 1, 7
2022/10/5, 53, 30, 19, 16, 1, 6
2022/10/6, 43, 35, 34, 16, 1, 7
2022/10/7, 53, 38, 27, 15, 1, 7
2022/10/8, 41, 18, 25, 9, 1, 6
2022/10/9, 22, 20, 39, 10, 2, 6
2022/10/10, 21, 28, 30, 11, 1, 6
2022/10/11, 39, 50, 30, 18, 1, 8
2022/10/12, 54, 48, 34, 18, 1, 8
2022/10/13, 57, 43, 36, 16, 2, 8
2022/10/14, 47, 43, 38, 18, 2, 8
2022/10/15, 49, 44, 54, 17, 2, 8
2022/10/16, 50, 36, 46, 12, 1, 8
2022/10/17, 49, 37, 10, 14, 1, 16
2022/10/18, 39, 35, , 12, 1, 1
2022/10/19, 41, 31, 15, 12, 1, 1
2022/10/20, 34, 30, 37, 14, 2, 1
2022/10/21, 35, 39, 37, 16, 1, 2
2022/10/22, 40, 37, 49, 13, 1, 2
2022/10/23, 39, 34, 41, 11, 1, 2
2022/10/24, 38, 39, 38, 17, 1, 2
2022/10/25, 41, 38, 26, 13, 1, 2
2022/10/26, 34, 28, 33, 11, 1, 1
2022/10/27, 32, 40, 41, 15, 1, 2
2022/10/28, 39, 41, 32, 16, 1, 2
2022/10/29, 46, 37, 40, 12, 1, 2
2022/10/30, 45, 23, 19, 7, 1, 1
2022/10/31, 18, 34, 35, 8, 1, 1
2022/11/1, 28, 34, 44, 8, 2, 2
2022/11/2, 25, 47, 47, 18, 1, 3
2022/11/3, 52, 50, 39, 19, 1, 3
2022/11/4, 56, 55, 36, 22, 1, 3
2022/11/5, 63, 46, 53, 14, 1, 3
2022/11/6, 59, 44, 55, 13, 1, 3
2022/11/7, 63, 47, 51, 17, 1, 3
2022/11/8, 57, 51, 27, 21, 1, 4
2022/11/9, 63, 29, 10, 16, 1, 3
2022/11/10, 42, 33, 28, 13, 1, 3
2022/11/11, 38, 29, 19, 11, 1, 3
2022/11/12, 34, 16, 16, 7, 1, 2
2022/11/13, 16, 14, 34, 6, 1, 2
2022/11/14, 26, 26, 36, 14, 1, 
2022/11/15, 29, 34, 51, 15, 2, 1
2022/11/16, 36, 39, 50, 13, 1, 2
2022/11/17, 48, 43, 46, 12, 2, 3
2022/11/18, 50, 39, 48, 12, 2, 3
2022/11/19, 48, 35, 40, 9, 2, 2
2022/11/20, 45, 32, 39, 9, 1, 2
2022/11/21, 42, 35, 43, 11, 2, 2
2022/11/22, 39, 46, 55, 14, 2, 2
2022/11/23, 50, 48, 59, 15, 2, 3
2022/11/24, 56, 43, 39, 14, 1, 3
2022/11/25, 44, 44, 51, 16, 1, 3
2022/11/26, 52, 37, 71, 13, 1, 3
2022/11/27, 44, , , , 2, 
2022/11/30, 53, 33, 34, 11, 1, 2
2022/12/1, 46, 38, 39, 12, 1, 2
